OBJECTID,name,area,area1,Zone_,Shape_Leng,Shape_Area,toshavim,iq_index_school_IQ_INDEX_0-4,iq_index_school_IQ_INDEX_5-9,iq_index_school_IQ_INDEX_10-14,iq_index_school_IQ_INDEX_15-19,OBJECTID_2,SEMEL_YISH,STAT11,YISHUV_STA,SHEM_YISHU,SHEM_YIS_1,Stat11_Uni,Stat11_Ref,Main_Funct,Main_Fun_1,Religion_y,Religion_1,Religion_S,Religion_2,Pop_Total,Male_Total,Female_Tot,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,SHAPE_Leng_2,SHAPE_Area_2,IQ_0_4,IQ_INDEX_0-4,IQ_INDEX_5-9,IQ_INDEX_10-14,IQ_INDEX_15-19
"10",זיו,1546.01000000000,דונם 1546.01,"6",5059.20042709000,1072012.45671999990,"9717",0.74,0.94,0.99,1.14,"3061","8700","35","87000035",רעננה,RA'ANNANA,"35",,"1",מגורים,"1",יהודי,"0",,3259.00000000000,1575.00000000000,1685.00000000000,729.00000000000,214.00000000000,379.00000000000,1341.00000000000,596.00000000000,1811.98216031000,200093.11418199999,,93%,100%,97%,98%
"10",זיו,1546.01000000000,דונם 1546.01,"6",5059.20042709000,1072012.45671999990,"9717",0.74,0.94,0.99,1.14,"3062","8700","36","87000036",רעננה,RA'ANNANA,"36",,"1",מגורים,"1",יהודי,"0",,2356.00000000000,1147.00000000000,1208.00000000000,480.00000000000,178.00000000000,306.00000000000,919.00000000000,473.00000000000,4132.86962039000,729227.35915200005,,81%,88%,107%,108%
"8",הדר,547.40000000000,דונם 547.4,"4",3674.46045430000,491055.77312700002,"7019",1.06,0.96,0.94,0.92,"3049","8700","21","87000021",רעננה,RA'ANNANA,"21",,"1",מגורים,"1",יהודי,"0",,2406.00000000000,1195.00000000000,1211.00000000000,564.00000000000,151.00000000000,305.00000000000,956.00000000000,429.00000000000,1881.73954837000,202859.44717800000,,112%,102%,104%,92%
"8",הדר,547.40000000000,דונם 547.4,"4",3674.46045430000,491055.77312700002,"7019",1.06,0.96,0.94,0.92,"3050","8700","22","87000022",רעננה,RA'ANNANA,"22",,"1",מגורים,"1",יהודי,"0",,3202.00000000000,1561.00000000000,1641.00000000000,735.00000000000,195.00000000000,379.00000000000,1367.00000000000,527.00000000000,2087.10897555000,250107.25243800000,,121%,108%,89%,86%
"8",הדר,547.40000000000,דונם 547.4,"4",3674.46045430000,491055.77312700002,"7019",1.06,0.96,0.94,0.92,"3051","8700","23","87000023",רעננה,RA'ANNANA,"23",,"1",מגורים,"1",יהודי,"0",,2792.00000000000,1408.00000000000,1384.00000000000,643.00000000000,160.00000000000,391.00000000000,1158.00000000000,438.00000000000,3996.15119381000,494003.78511300002,,128%,99%,83%,74%
"8",הדר,547.40000000000,דונם 547.4,"4",3674.46045430000,491055.77312700002,"7019",1.06,0.96,0.94,0.92,"3052","8700","24","87000024",רעננה,RA'ANNANA,"24",,"1",מגורים,"1",יהודי,"0",,3046.00000000000,1494.00000000000,1552.00000000000,571.00000000000,215.00000000000,359.00000000000,1261.00000000000,641.00000000000,2658.36836513000,283834.45498699998,,84%,79%,88%,99%
"8",הדר,547.40000000000,דונם 547.4,"4",3674.46045430000,491055.77312700002,"7019",1.06,0.96,0.94,0.92,"3053","8700","25","87000025",רעננה,RA'ANNANA,"25",,"1",מגורים,"1",יהודי,"0",,3609.00000000000,1847.00000000000,1762.00000000000,609.00000000000,323.00000000000,507.00000000000,1524.00000000000,646.00000000000,3384.49277121000,700316.84216300002,,46%,68%,99%,128%
"8",הדר,547.40000000000,דונם 547.4,"4",3674.46045430000,491055.77312700002,"7019",1.06,0.96,0.94,0.92,"3054","8700","26","87000026",רעננה,RA'ANNANA,"26",,"1",מגורים,"1",יהודי,"0",,4911.00000000000,2418.00000000000,2493.00000000000,1295.00000000000,309.00000000000,491.00000000000,2218.00000000000,597.00000000000,9671.94675025000,3747642.93069999991,,155%,123%,93%,84%
"9",פעמונים,86.85000000000,דונם 86.85,"7",3685.98651265000,760481.58889799996,"7753",1.04,1.12,1.19,0.98,"3049","8700","21","87000021",רעננה,RA'ANNANA,"21",,"1",מגורים,"1",יהודי,"0",,2406.00000000000,1195.00000000000,1211.00000000000,564.00000000000,151.00000000000,305.00000000000,956.00000000000,429.00000000000,1881.73954837000,202859.44717800000,,112%,102%,104%,92%
"9",פעמונים,86.85000000000,דונם 86.85,"7",3685.98651265000,760481.58889799996,"7753",1.04,1.12,1.19,0.98,"3052","8700","24","87000024",רעננה,RA'ANNANA,"24",,"1",מגורים,"1",יהודי,"0",,3046.00000000000,1494.00000000000,1552.00000000000,571.00000000000,215.00000000000,359.00000000000,1261.00000000000,641.00000000000,2658.36836513000,283834.45498699998,,84%,79%,88%,99%
"9",פעמונים,86.85000000000,דונם 86.85,"7",3685.98651265000,760481.58889799996,"7753",1.04,1.12,1.19,0.98,"3053","8700","25","87000025",רעננה,RA'ANNANA,"25",,"1",מגורים,"1",יהודי,"0",,3609.00000000000,1847.00000000000,1762.00000000000,609.00000000000,323.00000000000,507.00000000000,1524.00000000000,646.00000000000,3384.49277121000,700316.84216300002,,46%,68%,99%,128%
"9",פעמונים,86.85000000000,דונם 86.85,"7",3685.98651265000,760481.58889799996,"7753",1.04,1.12,1.19,0.98,"3056","8700","28","87000028",רעננה,RA'ANNANA,"28",,"1",מגורים,"1",יהודי,"0",,2995.00000000000,1448.00000000000,1547.00000000000,476.00000000000,361.00000000000,359.00000000000,905.00000000000,894.00000000000,5585.93863343000,1567707.31719999993,,51%,74%,86%,160%
"9",פעמונים,86.85000000000,דונם 86.85,"7",3685.98651265000,760481.58889799996,"7753",1.04,1.12,1.19,0.98,"3057","8700","31","87000031",רעננה,RA'ANNANA,"31",,"1",מגורים,"1",יהודי,"0",,6664.00000000000,3224.00000000000,3440.00000000000,1695.00000000000,464.00000000000,714.00000000000,2778.00000000000,1014.00000000000,4401.65573485000,911254.15989500005,,104%,112%,119%,98%
"9",פעמונים,86.85000000000,דונם 86.85,"7",3685.98651265000,760481.58889799996,"7753",1.04,1.12,1.19,0.98,"3058","8700","32","87000032",רעננה,RA'ANNANA,"32",,"1",מגורים,"1",יהודי,"0",,3609.00000000000,1818.00000000000,1791.00000000000,829.00000000000,281.00000000000,404.00000000000,1388.00000000000,707.00000000000,2669.16323782000,457163.76770299999,,74%,107%,118%,114%
"2",יחדיו,363.64000000000,דונם 363.64,"8.1",2401.72787367000,363647.16380200000,"3142",1.33,1.12,0.94,0.93,"3051","8700","23","87000023",רעננה,RA'ANNANA,"23",,"1",מגורים,"1",יהודי,"0",,2792.00000000000,1408.00000000000,1384.00000000000,643.00000000000,160.00000000000,391.00000000000,1158.00000000000,438.00000000000,3996.15119381000,494003.78511300002,,128%,99%,83%,74%
"2",יחדיו,363.64000000000,דונם 363.64,"8.1",2401.72787367000,363647.16380200000,"3142",1.33,1.12,0.94,0.93,"3052","8700","24","87000024",רעננה,RA'ANNANA,"24",,"1",מגורים,"1",יהודי,"0",,3046.00000000000,1494.00000000000,1552.00000000000,571.00000000000,215.00000000000,359.00000000000,1261.00000000000,641.00000000000,2658.36836513000,283834.45498699998,,84%,79%,88%,99%
"2",יחדיו,363.64000000000,דונם 363.64,"8.1",2401.72787367000,363647.16380200000,"3142",1.33,1.12,0.94,0.93,"3053","8700","25","87000025",רעננה,RA'ANNANA,"25",,"1",מגורים,"1",יהודי,"0",,3609.00000000000,1847.00000000000,1762.00000000000,609.00000000000,323.00000000000,507.00000000000,1524.00000000000,646.00000000000,3384.49277121000,700316.84216300002,,46%,68%,99%,128%
"2",יחדיו,363.64000000000,דונם 363.64,"8.1",2401.72787367000,363647.16380200000,"3142",1.33,1.12,0.94,0.93,"3054","8700","26","87000026",רעננה,RA'ANNANA,"26",,"1",מגורים,"1",יהודי,"0",,4911.00000000000,2418.00000000000,2493.00000000000,1295.00000000000,309.00000000000,491.00000000000,2218.00000000000,597.00000000000,9671.94675025000,3747642.93069999991,,155%,123%,93%,84%
"2",יחדיו,363.64000000000,דונם 363.64,"8.1",2401.72787367000,363647.16380200000,"3142",1.33,1.12,0.94,0.93,"3055","8700","27","87000027",רעננה,RA'ANNANA,"27",,"1",מגורים,"1",יהודי,"0",,3953.00000000000,1886.00000000000,2067.00000000000,1161.00000000000,284.00000000000,427.00000000000,1761.00000000000,320.00000000000,2860.57560089000,407059.24618700001,,156%,128%,111%,97%
"2",יחדיו,363.64000000000,דונם 363.64,"8.1",2401.72787367000,363647.16380200000,"3142",1.33,1.12,0.94,0.93,"3056","8700","28","87000028",רעננה,RA'ANNANA,"28",,"1",מגורים,"1",יהודי,"0",,2995.00000000000,1448.00000000000,1547.00000000000,476.00000000000,361.00000000000,359.00000000000,905.00000000000,894.00000000000,5585.93863343000,1567707.31719999993,,51%,74%,86%,160%
"4",היובל,170.55000000000,דונם 170.55,"3.1",2584.67015455000,238933.08861599999,"939",1.13,0.97,0.89,0.83,"3040","8700","11","87000011",רעננה,RA'ANNANA,"11",,"2",תעשיה,"1",יהודי,"0",,16.00000000000,10.00000000000,6.00000000000,3.00000000000,0.00000000000,1.00000000000,10.00000000000,2.00000000000,6473.20999241000,1469237.88070000010,,,,,
"4",היובל,170.55000000000,דונם 170.55,"3.1",2584.67015455000,238933.08861599999,"939",1.13,0.97,0.89,0.83,"3041","8700","12","87000012",רעננה,RA'ANNANA,"12",,"1",מגורים,"1",יהודי,"0",,2484.00000000000,1272.00000000000,1211.00000000000,526.00000000000,199.00000000000,301.00000000000,1015.00000000000,444.00000000000,3161.77359693000,538724.65105200000,,103%,87%,102%,109%
"4",היובל,170.55000000000,דונם 170.55,"3.1",2584.67015455000,238933.08861599999,"939",1.13,0.97,0.89,0.83,"3047","8700","18","87000018",רעננה,RA'ANNANA,"18",,"1",מגורים,"1",יהודי,"0",,2393.00000000000,1155.00000000000,1238.00000000000,489.00000000000,145.00000000000,272.00000000000,959.00000000000,528.00000000000,2006.43300439000,158250.65259400001,,110%,100%,81%,87%
"4",היובל,170.55000000000,דונם 170.55,"3.1",2584.67015455000,238933.08861599999,"939",1.13,0.97,0.89,0.83,"3048","8700","19","87000019",רעננה,RA'ANNANA,"19",,"1",מגורים,"1",יהודי,"0",,2320.00000000000,1117.00000000000,1203.00000000000,515.00000000000,113.00000000000,242.00000000000,919.00000000000,531.00000000000,1797.17433906000,145060.68907500000,,107%,96%,85%,73%
"4",היובל,170.55000000000,דונם 170.55,"3.1",2584.67015455000,238933.08861599999,"939",1.13,0.97,0.89,0.83,"3049","8700","21","87000021",רעננה,RA'ANNANA,"21",,"1",מגורים,"1",יהודי,"0",,2406.00000000000,1195.00000000000,1211.00000000000,564.00000000000,151.00000000000,305.00000000000,956.00000000000,429.00000000000,1881.73954837000,202859.44717800000,,112%,102%,104%,92%
"4",היובל,170.55000000000,דונם 170.55,"3.1",2584.67015455000,238933.08861599999,"939",1.13,0.97,0.89,0.83,"3050","8700","22","87000022",רעננה,RA'ANNANA,"22",,"1",מגורים,"1",יהודי,"0",,3202.00000000000,1561.00000000000,1641.00000000000,735.00000000000,195.00000000000,379.00000000000,1367.00000000000,527.00000000000,2087.10897555000,250107.25243800000,,121%,108%,89%,86%
"4",היובל,170.55000000000,דונם 170.55,"3.1",2584.67015455000,238933.08861599999,"939",1.13,0.97,0.89,0.83,"3051","8700","23","87000023",רעננה,RA'ANNANA,"23",,"1",מגורים,"1",יהודי,"0",,2792.00000000000,1408.00000000000,1384.00000000000,643.00000000000,160.00000000000,391.00000000000,1158.00000000000,438.00000000000,3996.15119381000,494003.78511300002,,128%,99%,83%,74%
"4",היובל,170.55000000000,דונם 170.55,"3.1",2584.67015455000,238933.08861599999,"939",1.13,0.97,0.89,0.83,"3052","8700","24","87000024",רעננה,RA'ANNANA,"24",,"1",מגורים,"1",יהודי,"0",,3046.00000000000,1494.00000000000,1552.00000000000,571.00000000000,215.00000000000,359.00000000000,1261.00000000000,641.00000000000,2658.36836513000,283834.45498699998,,84%,79%,88%,99%
"4",היובל,170.55000000000,דונם 170.55,"3.1",2584.67015455000,238933.08861599999,"939",1.13,0.97,0.89,0.83,"3054","8700","26","87000026",רעננה,RA'ANNANA,"26",,"1",מגורים,"1",יהודי,"0",,4911.00000000000,2418.00000000000,2493.00000000000,1295.00000000000,309.00000000000,491.00000000000,2218.00000000000,597.00000000000,9671.94675025000,3747642.93069999991,,155%,123%,93%,84%
"1",שקד,194.08000000000,דונם 194.08,"9",2610.20549266000,396694.09762000002,"4736",1.56,1.28,1.11,0.97,"3054","8700","26","87000026",רעננה,RA'ANNANA,"26",,"1",מגורים,"1",יהודי,"0",,4911.00000000000,2418.00000000000,2493.00000000000,1295.00000000000,309.00000000000,491.00000000000,2218.00000000000,597.00000000000,9671.94675025000,3747642.93069999991,,155%,123%,93%,84%
"1",שקד,194.08000000000,דונם 194.08,"9",2610.20549266000,396694.09762000002,"4736",1.56,1.28,1.11,0.97,"3055","8700","27","87000027",רעננה,RA'ANNANA,"27",,"1",מגורים,"1",יהודי,"0",,3953.00000000000,1886.00000000000,2067.00000000000,1161.00000000000,284.00000000000,427.00000000000,1761.00000000000,320.00000000000,2860.57560089000,407059.24618700001,,156%,128%,111%,97%
"1",שקד,194.08000000000,דונם 194.08,"9",2610.20549266000,396694.09762000002,"4736",1.56,1.28,1.11,0.97,"3056","8700","28","87000028",רעננה,RA'ANNANA,"28",,"1",מגורים,"1",יהודי,"0",,2995.00000000000,1448.00000000000,1547.00000000000,476.00000000000,361.00000000000,359.00000000000,905.00000000000,894.00000000000,5585.93863343000,1567707.31719999993,,51%,74%,86%,160%
